Transaction
"['River City Pub', 'Julia Oliver', 'Low', 'Medium']"
"['Brilliance Audio', 'Johanna Lindsey', 'Medium', 'Short']"
"['HarperLargePrint', 'Johanna Lindsey', 'Medium', 'Long']"
"['William Morrow &amp; Company', 'Sidney Sheldon', 'Medium', 'Long']"
"['HarperCollins', 'E. B. White', 'High', 'Medium']"
"['Harpercollins Juvenile Books', 'E. B. White', 'High', 'Medium']"
"['Doubleday', 'Joanne Harris', 'High', 'Medium']"
"['Harpercollins', 'Linda Lay Shuler', 'Medium', 'Medium']"
"['Random House Inc', 'Mario Puzo', 'High', 'Medium']"
"['St Martins Pr', 'Katie Fforde', 'Medium', 'Medium']"
"['Harcourt', 'Alice Walker', 'High', 'Short']"
"['Doubleday Books', 'Margaret Atwood', 'High', 'Medium']"
"['Scribner', 'Kathy Reichs', 'Medium', 'Medium']"
"['Scribner', 'Kathy Reichs', 'Medium', 'Medium']"
"['Harpercollins', 'Tananarive Due', 'Low', 'Long']"
"['Random House', 'Jonathan Harr', 'Medium', 'Short']"
"['Putnam Berkley Audio', 'Catherine Coulter', 'Medium', 'Short']"
"['Random House Audio Publishing Group', 'Elmore Leonard', 'Medium', 'Long']"
"['Random House Trade', 'Sebastian Faulks', 'Low', 'Medium']"
"['DenoÃ?Â«l', 'Sebastian Faulks', 'Low', 'Medium']"
"['Audio Renaissance', 'Peter Mayle', 'Medium', 'Short']"
"['Alfred A. Knopf', 'Peter Mayle', 'Medium', 'Short']"
"['MacMillan Publishing Company.', 'Sharon Creech', 'Medium', 'Long']"
"['Random House Trade', 'Mario Puzo', 'High', 'Long']"
"['Random House Audio', 'Mario Puzo', 'High', 'Long']"
"['Trafalgar Square', 'Ian McEwan', 'High', 'Medium']"
"['Jeremy P. Tarcher', 'Paula Huntley', 'Low', 'Long']"
"['Avon', 'Kathleen E. Woodiwiss', 'Medium', 'Long']"
"['Scribner', 'Philippa Gregory', 'Medium', 'Long']"
"['Bantam Books-Audio', 'John Grisham', 'High', 'Long']"
"['Harlequin', 'Janet Dailey', 'Medium', 'Long']"
"['Deseret Book Company', 'Anne Perry', 'Low', 'Medium']"
"['Little Brown &amp; Co', 'Janet Dailey', 'Medium', 'Long']"
"['Putnam Pub Group', 'Jack Higgins', 'Low', 'Long']"
"['Putnam Adult', 'Greg Iles', 'Medium', 'Medium']"
"['HarperCollins Publishers', 'Tony Hillerman', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Jack Higgins', 'Medium', 'Long']"
"['Bantam Books', 'Tom Robbins', 'Medium', 'Long']"
"['Trafalgar Square', 'Emma Donoghue', 'Medium', 'Long']"
"['Harpercollins', 'Edward Ziegler', 'Low', 'Long']"
"['HarperCollins Publishers', 'Lisa Scottoline', 'Medium', 'Medium']"
"['St Martins Pr', 'Robert Ludlum', 'Medium', 'Short']"
"['Audio Renaissance', 'Robert Ludlum', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'John Sandford', 'Medium', 'Long']"
"['Bantam Books', 'Luanne Rice', 'Medium', 'Medium']"
"['Pocket Books', 'Julie Garwood', 'Medium', 'Medium']"
"['Bantam Dell Pub Group', 'Michael Palmer', 'Medium', 'Long']"
"['Penguin Putnam~childrens Hc', 'Stephen King', 'High', 'Short']"
"['Highbridge Audio', 'Stephen King', 'High', 'Long']"
"['HarperBusiness', 'Scott Adams', 'Low', 'Long']"
"['Houghton Mifflin', 'Muriel Spark', 'Medium', 'Medium']"
"['Dutton Books', 'Richard Paul Evans', 'Low', 'Long']"
"['Harpercollins', 'Armistead Maupin', 'Medium', 'Long']"
"['Houghton Mifflin', 'Olive Ann Burns', 'Medium', 'Long']"
"['Atheneum', 'Cynthia Voigt', 'Medium', 'Medium']"
"['Random House Audio Publishing Group', 'Daniel Silva', 'Medium', 'Medium']"
"['Little Brown &amp; Co', 'Cathy Cash Spellman', 'Medium', 'Long']"
"['Smithmark Pub', 'Anne Rice', 'Medium', 'Long']"
"['Putnam Pub Group', 'Robin Cook', 'Medium', 'Medium']"
"['Simon &amp; Schuster', 'Michael Drosnin', 'Low', 'Medium']"
"['Random House Audio', 'John Irving', 'Medium', 'Short']"
"['Dutton Books', 'Ken Follett', 'High', 'Long']"
"['Putnam Publishing Group', 'Kurt Vonnegut', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Kurt Vonnegut', 'Medium', 'Long']"
"['HarperCollins Publishers', 'Jeffrey Archer', 'High', 'Short']"
"['Putnam Publishing Group', 'John Sandford', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Robin Cook', 'Medium', 'Medium']"
"['Atria', 'Linda Howard', 'Medium', 'Medium']"
"['HarperAudio', 'Brad Meltzer', 'High', 'Long']"
"['HarperAudio', 'Alisa Kwitney', 'Low', 'Medium']"
"['Macmillan of Canada', 'Jane Rule', 'Medium', 'Medium']"
"['Naiad Press', 'Jane Rule', 'Medium', 'Long']"
"['Leisure Books', 'Gail Link', 'Low', 'Long']"
"['El Ateneo', 'Jose Mauro de Vasconcelos', 'Low', 'Long']"
"['Greenwillow', 'Robin McKinley', 'High', 'Medium']"
"['Putnam Adult', 'Stuart Woods', 'Low', 'Medium']"
"['Farrar Straus Giroux', ""Madeleine L'Engle"", 'High', 'Long']"
"['Scholastic', 'Alice Hoffman', 'Medium', 'Medium']"
"['Scholastic Paperbacks (T)', 'Betty Ren Wright', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Lawrence Sanders', 'Medium', 'Long']"
"['Random House Inc', 'Whitney Otto', 'Medium', 'Long']"
"['Bantam Dell Pub Group', 'Robert Silverberg', 'Medium', 'Long']"
"['Recorded Books', 'Alice Sebold', 'High', 'Long']"
"['Random House Inc', 'Molly Ivins', 'Low', 'Long']"
"['Algonquin Books of Chapel Hill', 'Lewis Nordan', 'Low', 'Long']"
"['Bantam Dell Pub Group', 'Elmore Leonard', 'High', 'Long']"
"['Alfred A. Knopf', 'Karen Armstrong', 'Low', 'Long']"
"['Ballantine Books', 'John Irving', 'High', 'Short']"
"['Kensington Publishing Corporation', 'Jane Heller', 'Low', 'Short']"
"['Dutton Books', 'Judy Blume', 'High', 'Medium']"
"['Bantam', 'Daniel Quinn', 'Low', 'Long']"
"['Simon Pulse', 'Christopher Pike', 'Medium', 'Medium']"
"['Random House Inc', 'Ray Bradbury', 'High', 'Medium']"
"['Putnam Pub Group', 'Sara Backer', 'Low', 'Long']"
"['Ediciones Alfaguara, S.A.', 'Arthur Golden', 'Low', 'Medium']"
"['Bookthrift Co', 'Mary Higgins Clark', 'Medium', 'Long']"
"['HarperCollins', 'Alex Flinn', 'Low', 'Short']"
"['Orchard Books (NY)', 'Judy Blume', 'High', 'Long']"
"['Pocket Books', 'Jude Deveraux', 'Medium', 'Long']"
"['Bantam Dell Pub Group', 'Elmore Leonard', 'High', 'Long']"
"['Smithmark Pub', 'Frank Herbert', 'Low', 'Long']"
"['Audioworks', 'Stephen King', 'High', 'Medium']"
"['Simon &amp; Schuster Audio', 'Stephen King', 'High', 'Long']"
"['Scholastic School Market Edition', 'Sharon Creech', 'High', 'Long']"
"['Penguin Putnam~mass', 'Spider Robinson', 'Low', 'Long']"
"['Random House Trade', 'Ken Follett', 'High', 'Long']"
"['Bantam Dell Pub Group', 'Carl Djerassi', 'Low', 'Medium']"
"['Putnam Pub Group', 'Pearl Abraham', 'Low', 'Medium']"
"['Random House Inc', 'Nora Ephron', 'Medium', 'Long']"
"['Fawcett Books', 'Cynthia Voigt', 'Low', 'Long']"
"['New Amer Library', 'Charles de Lint', 'Medium', 'Medium']"
"['Simon &amp; Schuster', 'Larry McMurtry', 'High', 'Long']"
"['Penguin USA', 'Sharyn McCrumb', 'Medium', 'Long']"
"['Henry Holt and Co. (BYR)', 'Melvin Burgess', 'Medium', 'Long']"
"['Random House Audio', 'Sue Grafton', 'Medium', 'Long']"
"['Random House Audio', 'Sue Grafton', 'Medium', 'Short']"
"['Farrar Straus Giroux', 'Isaac Bashevis Singer', 'Low', 'Long']"
"['Diogenes', 'Donna Leon', 'Low', 'Long']"
"['Viking Books', 'Stephen King', 'High', 'Medium']"
"['Thomas Dunne Books', 'Marcia Willett', 'Low', 'Short']"
"['Mira Books', 'Laura Van Wormer', 'Low', 'Long']"
"['Putnam Publishing Group', ""Carol O'Connell"", 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Sheldon Siegel', 'Low', 'Long']"
"['Simon &amp; Schuster', 'Stephen Hunter', 'Low', 'Medium']"
"['Crown Publishing Group (NY)', 'Robin A. White', 'Low', 'Long']"
"['Farrar Straus Giroux', 'Howard Norman', 'Low', 'Long']"
"['Eos (HarperCollins)', 'Sheri S. Tepper', 'Medium', 'Medium']"
"['Bantam Books', 'Harold H. Bloomfield', 'Low', 'Short']"
"['Houghton Mifflin', 'Carson McCullers', 'High', 'Long']"
"['Random House Inc', 'Robert Harris', 'Medium', 'Long']"
"['Random House Audio Publishing Group', 'Iris Johansen', 'Medium', 'Long']"
"['Ballantine Books', 'Jon Hassler', 'Low', 'Short']"
"['Bantam', 'Donna Kauffman', 'Low', 'Long']"
"['Little, Brown', 'Jerry Spinelli', 'High', 'Long']"
"['Viking Juvenile', 'Roald Dahl', 'High', 'Long']"
"['Sudamericana', 'Isabel Allende', 'High', 'Medium']"
"['Ediciones Alfaguara, S.A.', 'Mario Vargas Llosa', 'High', 'Medium']"
"['Random House Inc', 'Anne Tyler', 'High', 'Medium']"
"['Houghton Mifflin', ""Tim O'Brien"", 'High', 'Long']"
"['HarperCollins Publishers', 'Francesca Lia Block', 'Medium', 'Long']"
"['Harpercollins Juvenile Books', 'Francesca Lia Block', 'Low', 'Long']"
"['Harmony Books', 'Christopher A. Bohjalian', 'Low', 'Long']"
"['Collins', 'Alistair MacLean', 'Medium', 'Medium']"
"['Bantam Audio Publishing', 'Nicholas Evans', 'High', 'Long']"
"['Daw Books', 'Suzette Haden Elgin', 'Medium', 'Medium']"
"['HarperAudio', 'Lisa Scottoline', 'Low', 'Medium']"
"['Warner Books', 'Larry Bond', 'Low', 'Long']"
"['Houghton Mifflin', ""Scott O'Dell"", 'High', 'Short']"
"['Putnam Pub Group', 'Lilian Jackson Braun', 'Medium', 'Short']"
"['Random House Audio', 'Dean Koontz', 'High', 'Long']"
"['1stBooks Library', 'John Paul Allen', 'Low', 'Medium']"
"['Alfred A. Knopf', 'Michael Crichton', 'High', 'Medium']"
"['Turtle Bay Books', 'Susanna Kaysen', 'Medium', 'Medium']"
"['Harpercollins', 'Viktor E. Frankl', 'Medium', 'Long']"
"['Berkley Pub Group', 'Spider Robinson', 'Low', 'Medium']"
"['Random House Inc', 'Laura Joh Rowland', 'Low', 'Long']"
"['Dutton Books', 'Judy Blume', 'High', 'Medium']"
"['Weitbrecht, Stgt.', 'Wolfgang Hohlbein', 'Medium', 'Short']"
"['Putnam Publishing Group', 'John Sandford', 'Medium', 'Short']"
"['Avon Books', 'James Alan Gardner', 'Medium', 'Medium']"
"['William Morrow', 'Peter Robinson', 'Medium', 'Long']"
"['Random House Inc', 'Daniel Keyes', 'Medium', 'Medium']"
"['Random House Inc', 'Diane Ackerman', 'Low', 'Medium']"
"['Alianza', 'J. D. Salinger', 'Low', 'Medium']"
"['Penguin USA', 'Anne Eliot Crompton', 'Low', 'Long']"
"['Simon &amp; Schuster Audio', 'Kathy Reichs', 'Medium', 'Medium']"
"['Harpercollins', 'Guy Gavriel Kay', 'Medium', 'Medium']"
"['Random House Inc', 'Dave Barry', 'Medium', 'Long']"
"['Baen', 'David Weber', 'Medium', 'Medium']"
"['Bloomsbury Publishing PLC', 'Ahdaf Soueif', 'Medium', 'Medium']"
"['Random House Audio Publishing Group', 'John Grisham', 'High', 'Long']"
"['Delacorte Press', 'Gary Paulsen', 'Medium', 'Long']"
"['Doubleday', 'Joanne Harris', 'Medium', 'Long']"
"['St Martins Pr', 'Ridley Pearson', 'Medium', 'Long']"
"['Warner Books', 'Sandra Brown', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Robert Cowley', 'Low', 'Medium']"
"['Bantam Books', 'Sandra Brown', 'Medium', 'Medium']"
"['Michael Joseph', 'Marion Zimmer Bradley', 'Medium', 'Long']"
"['Houghton Mifflin', 'Cornel West', 'Medium', 'Long']"
"['HarperCollins', 'Beverly Cleary', 'High', 'Long']"
"['Ballantine Books', 'Anne Perry', 'Low', 'Short']"
"['Berkley Pub Group', 'Spider Robinson', 'Low', 'Short']"
"['Random House', 'Ray Bradbury', 'Medium', 'Long']"
"['St Martins Pr', 'Linda Goodman', 'Low', 'Short']"
"['St Martins Pr', 'Minette Walters', 'Medium', 'Long']"
"['RÃ?Â¼tten &amp; Loening', 'Marc Levy', 'Low', 'Long']"
"['Zebra Books', 'Jo Beverley', 'Medium', 'Medium']"
"['Little Brown &amp; Co', 'Martha Grimes', 'Medium', 'Medium']"
"['Putnam Pub Group', 'Carl Hiaasen', 'Medium', 'Medium']"
"['Poolbeg Pr Ltd', 'Marian Keyes', 'High', 'Short']"
