Title,Author,Subjects,First Publish Year,Edition Count,ISBN
Mission Compromised,Oliver North,,2002.0,3.0,
The Bluestocking: The Story of the Famous Forrest Divorce Case,Not Found,Not Found,,,
The Brentford Triangle,Robert Rankin,,1982.0,1.0,
Fax Me a Bagel,Sharon Kahn,,1998.0,2.0,
Two Cooks A-Killing : An Angie Amalfi Mystery,Not Found,Not Found,,,
Dirt,Jeanine Cummins,,2019.0,17.0,
Date With the Perfect Dead Man (Hannah and Kiki Mysteries),Annie Griffin,,1999.0,1.0,
Swimming to Catalina,Stuart Woods,,1998.0,5.0,
Dead in the Water,Stuart Woods,,1997.0,6.0,
New York Dead,Stuart Woods,,1991.0,14.0,
Taken to the Cleaners (Mandy Dyer Mystery),Dolores Johnson,,1997.0,1.0,
Christmas Cookie Murder: A Lucy Stone Mystery (Lucy Stone Mysteries (Paperback)),Not Found,Not Found,,,
Amistad,Joyce Annette Barnes,,1997.0,1.0,
ErzsÃ©bet: Roman,Not Found,Not Found,,,
The Marriage Arrangement,Helen Bianchin,,2010.0,8.0,
And Not  Make Dreams Your Master,Stephen Goldin,,1981.0,3.0,
Road Taken,Robert Frost,,1957.0,5.0,
Girl Meets God : A Memoir,Not Found,Not Found,,,
Psalms for God's People: A Bible Commentary for Laymen,Not Found,Not Found,,,
Parenting an Only Child: The Joys and Challenges of Raising Your One and Only,Not Found,Not Found,,,
"Witches , The",Roald Dahl,,1983.0,107.0,
Crew,Stephen King,,1985.0,72.0,
The Midnight Ride of Thomas the Tank Engine (Thomas the Tank Engine),Owain Bell,,1995.0,1.0,
Dirt music,Tim Winton,,2001.0,9.0,
"Anne of the Island (The Anne of Green Gables Novels, No. 3)",Not Found,Not Found,,,
Boy: Tales of Childhood (Puffin Story Books),Not Found,Not Found,,,
Rainbow Valley (Anne of Green Gables Novels (Paperback)),Not Found,Not Found,,,
The WEDDING DAY MYSTERY NANCY DREW 136,Carolyn Keene,,1997.0,1.0,
"PICTURE-PERFECT MYSTERY (NANCY DREW 94) : PICTURE-PERFECT MYSTERY (Nancy Drew, No 94)",Carolyn Keene,,1990.0,1.0,
BROKEN ANCHOR ND P (Nancy Drew (Paperback)),Not Found,Not Found,,,
The Face on the Milk Carton,Caroline B. Cooney,,1990.0,24.0,
Children of the River (Laurel-Leaf Contemporary Fiction),Not Found,Not Found,,,
"Catherine, Called Birdy (Trophy Newbery)",Karen Cushman,,1995.0,2.0,
Alaska,John Green,,2005.0,57.0,
Brave New Girl,Louisa Luna,,2001.0,2.0,
Ono,Yoko Ono,,2009.0,6.0,
Die Seekarte.,Not Found,Not Found,,,
Flut.,Wolfgang Hohlbein,,2001.0,6.0,
FÃ?Â¼nf Viertel einer Orange.,Not Found,Not Found,,,
Schattenkinder.,Margaret Peterson Haddix,,2002.0,1.0,
Die weiÃ?Â?e Hexe. Meine Abenteuer in Afrika.,Not Found,Not Found,,,
Die GlasblÃ?Â¤serin.,Not Found,Not Found,,,
Die Amerikanerin.,Petra Durst-Benning,,2007.0,1.0,
Die Hexe und die Heilige.,Ulrike Schweikert,,2001.0,3.0,
Girlfriend in a Coma,Douglas Coupland,,1998.0,14.0,
Die Orks.,Stan Nicholls,,2002.0,2.0,
Wuthering Heights (The World's Classics),Not Found,Not Found,,,
Nosotros Que No Somos Como,Not Found,Not Found,,,
Rite of Passage: Tales of Backpacking 'Round Europe (Lonely Planet Journeys (Travel Literature)),Not Found,Not Found,,,
A Recipe for Bees,Gail Anderson-Dargatz,,1998.0,7.0,
Silbermann,Jacques de Lacretelle,,1922.0,9.0,
I Have a Dream - 40th Anniversary Edition : Writings and Speeches That Changed the World,Not Found,Not Found,,,
And I Don't Want to Live This Life,Deborah Spungen,,1983.0,5.0,
Oracle8I for Windows Nt Starter Kit (Oracle Press S.),Not Found,Not Found,,,
Growing Up,Eleanor Hodgman Porter,,1915.0,187.0,
Dollar Road: A Novel,Unknown,,,1.0,
The Gambler (Dover Thrift Editions),Not Found,Not Found,,,
The Sheltering Sky,Paul Bowles,,1948.0,28.0,
The Mark of the Assassin,Daniel Silva,,1998.0,8.0,
The Forest,Ursula K. Le Guin,,1972.0,37.0,
The Da Vinci Legacy,Lewis Perdue,,2004.0,2.0,
Fountain of Secrets (Get Connected Romances),Not Found,Not Found,,,
Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime),Not Found,Not Found,,,
The Beachcomber,Patti Beckman,,1980.0,2.0,
Wild Orchids,Jude Deveraux,,2003.0,6.0,
The Wheel of Fortune,Susan Howatch,,1984.0,15.0,
Source,John Bartlett,,1855.0,185.0,
Come As You Are: The Story of Nirvana,Not Found,Not Found,,,
In Pursuit of the Proper Sinner,Elizabeth George,,1999.0,6.0,
The scarlet letter (The World's best reading),Not Found,Not Found,,,
The Hangman's Beautiful Daughter,Sharyn McCrumb,,1992.0,11.0,
Delusion,Richard Dawkins,,2001.0,33.0,
Crowd Pleasers,Rosemary Rogers,,1978.0,3.0,
Daughter of God,Unknown,,1999.0,1.0,
The Predators,Chinweizu,,1975.0,7.0,
Black Opal,Victoria Holt,,1993.0,18.0,
The Silk Vendetta,Victoria Holt,,1824.0,21.0,
Thai Horse,William Diehl,,1987.0,6.0,
Flowers from Berlin,Noel Hynd,,1985.0,4.0,
Just Like Jesus,Max Lucado,,1998.0,3.0,
China Cry,Nora Lam,,1980.0,3.0,
THING OF BEAUTY,Stephen Fried,,1993.0,5.0,
"Morning, Noon, and Night",Sidney Sheldon,,1995.0,8.0,
A Sudden Change of Heart,"Barbara Taylor Bradford, Margaret Whitton",,1998.0,22.0,
Sisters And Strangers,Helen Van Slyke,,1978.0,6.0,
Daughters of the Shining City,Aola Vandergriff,,1982.0,1.0,
Circumstantial Evidence,Annette Broadrick,,1984.0,1.0,
Rock This!,Ashton Applewhite,,2016.0,8.0,
Immortal Poems of the English Language,Oscar Williams,,1952.0,1.0,
Black Orchids (Nero Wolfe Mysteries (Paperback)),Not Found,Not Found,,,
Walden and Other Writings,Henry David Thoreau,,1937.0,11.0,
Northanger Abbey (Signet Classic),Not Found,Not Found,,,
"Kristy's Great Idea (Baby-Sitters Club, 1)",Not Found,Not Found,,,
They Came Home: Korean War POWs Tell Their Stories,Not Found,Not Found,,,
Hickerdoodle Meets a Chigger,Lisa Brez,,2004.0,1.0,
GUMP &amp; CO.,Winston Groom,,1986.0,21.0,
1ST AMONG EQUALS X,Not Found,Not Found,,,
Survival Kit for Overseas Living: For Americans Planning to Live and Work Abroad,Not Found,Not Found,,,
New Pregnancy and Birth Book,Miriam Stoppard,,1991.0,1.0,
A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),Not Found,Not Found,,,
How I Accidentally Joined the Vast Right-Wing Conspiracy: (And Found Inner Peace),"Stein, Harry",,2000.0,2.0,
Decorating Rich: How to Achieve a Monied Look Without Spending a Fortune,Not Found,Not Found,,,
And the Shofar Blew (Moving Fiction),Not Found,Not Found,,,
The Remarkable Women of the Bible Growth: And Their Message for Your Life Today,Not Found,Not Found,,,
Distant Bells (Alabaster Books),Not Found,Not Found,,,
Senor Vivo and the Coca Lord,Louis de Bernières,,1991.0,22.0,
The Virgin Blue,Tracy Chevalier,,1997.0,4.0,
Night Talk : A Novel,Not Found,Not Found,,,
The Bachelor (Warner Books Contemporary Romance),Not Found,Not Found,,,
The Romance of Tristan and Iseult (Vintage Classics),Not Found,Not Found,,,
Perfect Little Angels/Gift Book With 10 Notecards and Envelopes,Not Found,Not Found,,,
My Girl: A Novel,"Walter Besant, James Rice",,2018.0,1.0,
Face On the Milk Carton,Caroline B. Cooney,,1990.0,24.0,
Paper Tricks,Jon Tremaine,,2010.0,2.0,
WHEN ANGELS SPEAK : The Mystical Power Of Intimate Relationships,Not Found,Not Found,,,
Inherit the Wind,Jerome Lawrence,,1955.0,23.0,
Spoon River Anthology (Dover Thrift Editions),Not Found,Not Found,,,
ADVENTURES OF HUCKLEBERRY FINN (ENRICHED CLASSIC ) : ADVENTURES OF HUCKLEBERRY FINN,Not Found,Not Found,,,
Great Quotes from Great Teachers,Marlene Rimler,,1994.0,1.0,
Chains,Christopher Pike,,1986.0,6.0,
Change Me into Zeus's Daughter: A Memoir,Not Found,Not Found,,,
Invasion: Earth,"Beatty, Jerome.",,1965.0,3.0,
Stainless Steel Rat Gets Drafted (Stainless Steel Rat Books (Paperback)),Not Found,Not Found,,,
Limits,Ron Larson,,1993.0,22.0,
Rama II: The Sequel to Rendezvous with Rama,Not Found,Not Found,,,
The Temptation,Danielle Lori,,2021.0,1.0,
Bodyguard /Husband : Ultimate Agents (Harlequin Intrigue Series),Not Found,Not Found,,,
Grave Concerns (Mira),Not Found,Not Found,,,
A Man to Call My Own : A Novel,Not Found,Not Found,,,
The Discovery of Animal Behaviour,John SPARKS,,1983.0,1.0,
"A Field Guide to Demons, Fairies, Fallen Angels and Other Subversive Spirits",Carol K. Mack,,1998.0,3.0,
Family Trade,Charles Stross,,2004.0,6.0,
The House of Thunder,Dean Koontz,,1982.0,34.0,
Xanth 13: Isle of View,Not Found,Not Found,,,
Deadlock,Charlaine Harris,,2001.0,16.0,
DOS 5 Instant Reference,"Thomas, Robert M.",,1991.0,1.0,
Unix for Dummies (TRANS/DUM),Not Found,Not Found,,,
Weddings for Dummies,"Marcy Blum, Laura F. Kaiser",,2004.0,9.0,
Barney's Favorite Mother Goose Rhymes (Volume 2),Stephen White,,1993.0,1.0,
"Barney's Favorite Mother Goose Rhymes, Volume I",Not Found,Not Found,,,
What Would Barney Say?,Publishing Lyrick,,1997.0,1.0,
YOU WERE BORN AGAIN : YOU WERE BORN AGAIN,Richard Sutphen,,1976.0,1.0,
The Bad Girl's Guide to the Party Life,Cameron Tuttle,,2002.0,1.0,
The Bad Girl's Guide to the Open Road,Cameron Tuttle,,1999.0,1.0,
"Chicken Soup for the Teenage Soul III : More Stories of Life, Love and Learning (Chicken Soup for the Soul)",Not Found,Not Found,,,
A Raisin in the Sun,Lorraine Hansberry,,1958.0,79.0,
Narrative of the Life of Frederick Douglass: An American Slave (Signet Classics (Paperback)),Not Found,Not Found,,,
"Books of Blood, Vol. 1",Clive Barker,,1986.0,2.0,
My Antonia (Signet Classic),Not Found,Not Found,,,
The Bone Collector (Lincoln Rhyme Novels (Paperback)),Not Found,Not Found,,,
Venusneid.,Rita Mae Brown,,1993.0,2.0,
Life in a Rapidly Changing World (New Economy Self-Development),Pauline Tai,,2001.0,1.0,
Witness for the Dead,Sarah Monette,,2021.0,4.0,
The Lost Stories of Louisa May Alcott,Louisa May Alcott,,1995.0,3.0,
INTO THE BLUE : INTO THE BLUE,Robert Goddard,,1990.0,19.0,
Guilty Pleasures,Laurell K. Hamilton,,1993.0,5.0,
Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),"Jack Canfield, Mark Victor Hansen, Dave Barry, (mei) Kan, fei er de, Jack Canfield, Carol Kline",,1998.0,17.0,
Lonely Planet Victoria (Lonely Planet Victoria),Jon Murray,,1999.0,1.0,
"Breaking Point (Tom Clancy's Net Force, No. 4)",Not Found,Not Found,,,
1984 (Signet Classics (Paperback)),Not Found,Not Found,,,
Callahan's Key,Spider Robinson,,2000.0,4.0,
Das Geheimnis des siebten Weges,Tonke Dragt,,2004.0,1.0,
Heimatlos. ( Ab 12 J.).,Not Found,Not Found,,,
ZwÃ?Â¶lf Geschichten aus der Fremde.,Not Found,Not Found,,,
Troubling a Star,Madeleine L'Engle,,1994.0,9.0,
Das Phantom der Oper.,Gaston Leroux,,1994.0,2.0,
Un Amore Dell'altro Mondo,Pinclo,,,1.0,
Io Non Ho Paura,Niccolò Ammaniti,,2001.0,5.0,
Die Truhen des Arcimboldo. Nach den TagebÃ?Â¼chern des Heinrich Wilhelm Lehmann.,Not Found,Not Found,,,
Sa Majeste Des Mouches,"William Golding, Manuel de Pedrolo",,1968.0,13.0,
L'Ile des Gauchers,Alexandre Jardin,,1995.0,1.0,
L'Arrache-coeur: Roman (Livre de poche),Not Found,Not Found,,,
The Angel Maker,Ridley Pearson,,1993.0,8.0,
Twins,Laura Lee Hope,,1904.0,94.0,
At Risk,Walter J. Stone,,1989.0,6.0,
The Empress of Elsewhere: A Novel,Not Found,Not Found,,,
A Different Kind of Christmas,Alex Haley,,1988.0,3.0,
I'm not complaining (Virago modern classics),Not Found,Not Found,,,
The Housewife and the Assassin,Susan Trott,,1980.0,1.0,
Come Rain or Come Shine: Friendships Between Women,"Linda Hale Bucklin, Mary Keil",,2012.0,1.0,
Geisha of Gion: The Memoir of Mineko Iwasaki,Not Found,Not Found,,,
Lucy Sullivan Is Getting Married,Marian Keyes,,1996.0,29.0,
How to Cook a Tart,Nina Killham,,2002.0,4.0,
"Asphalt Nation: How the Automobile Took over America, and How We Can Take It Back",Not Found,Not Found,,,
Fulton County,Washington Frothingham,,1892.0,4.0,
"Consumer Reports Buying Guide 2003 (Consumer Reports Buying Guide, 2003)",Consumer Reports Magazine,,2002.0,1.0,
The Outcasts of 19 Schuyler Place,E. L. Konigsburg,,2004.0,2.0,
The Colloghi Conspiracy,Douglas Hill,,1990.0,3.0,
Grace by the Cup: A Break from the Daily Grind,Not Found,Not Found,,,
Domestic Bliss : Simple Ways to Add Style to Your Life,Not Found,Not Found,,,
The 50 Greatest Love Letters of All Time,David H. Lowenherz,,2005.0,1.0,
Fanny und Pepsi. ( Ab 12 J.).,Not Found,Not Found,,,
Wild Horses,Paul Goble,,1978.0,21.0,
A Dog's Life,Ann M. Martin,,2005.0,8.0,
If the Buddha Married: Creating Enduring Relationships on a Spiritual Path,Not Found,Not Found,,,
Object of My Affection,Stephen McCauley,,1987.0,10.0,
Dr. Death (Alex Delaware Novels (Paperback)),Not Found,Not Found,,,
SKINNY LEGS AND ALL,Tom Robbins,,1990.0,11.0,
Game Ten,Minecraft Books,,2014.0,1.0,
Tortilla Flat,John Steinbeck,,1935.0,54.0,
Der HÃ?Â¼ter des Kelchs. Ein Albert- Campion- Roman.,Not Found,Not Found,,,
Catspaw (Cat),Not Found,Not Found,,,
The Promise,Danielle Steel,,1978.0,31.0,
Great Jones Street (Contemporary American Fiction),Not Found,Not Found,,,
Speaker for the Dead (Ender Wiggins Saga (Paperback)),Not Found,Not Found,,,
The Woman Warrior : Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,,1989.0,1.0,
The Power of One,Bryce Courtenay,,1989.0,18.0,
We the Living,"Shirley Jackson, Bernadette Dunne",,1962.0,39.0,
"Rabbit, Run",John Updike,,1960.0,48.0,
"Blood Washes Blood : A True Story of Love, Murder, and Redemption Under the Sicilian Sun",Not Found,Not Found,,,
"Collected Poems, 1909-1962",T. S. Eliot,,1963.0,25.0,
LA Luna E I Falo,Cesare Pavese,,1950.0,10.0,
Le Piccole Virtu,Unknown,,2015.0,1.0,
Household Gods,Aleister Crowley,,2017.0,6.0,
Second Spring: A Love Story,Not Found,Not Found,,,
The Ragman's Memory (Joe Gunther Mysteries (Paperback)),Not Found,Not Found,,,
Chosen (Palisades Pure Romance),Not Found,Not Found,,,
The Moffat Museum,Not Found,Not Found,,,
Masquerade (Portraits),Bethany House,,1996.0,1.0,
The BFG,Roald Dahl,,1980.0,136.0,
COLLEGE WEEKEND: FEAR STREET #32 : COLLEGE WEEKEND,Not Found,Not Found,,,
"The House of Death (Sweet Valley University Thriller Edition , No 4)",Not Found,Not Found,,,
STARLIGHT CRYSTAL : STARLIGHT CRYSTAL,Christopher Pike,,1996.0,3.0,
GIMME A KISS : GIMME A KISS,Christopher Pike,,1988.0,7.0,
FEAR HALL THE BEGINNING,Robert Lawrence Stine,,1997.0,4.0,
The HIDDEN EVIL FEAR STREET SAGAS 5,Not Found,Not Found,,,
Species II: A Novel,Not Found,Not Found,,,
The Mongoose Man,Nicholas Van Pelt,,1998.0,1.0,
"JESSICA AGAINST BRUCE (Sweet Valley High, No. 86)",Not Found,Not Found,,,
True Singapore Ghost Stories : Book 8,Not Found,Not Found,,,
"GRADUATION (FINAL FRIENDS 3) : GRADUATION (Final Friends, No 3)",Not Found,Not Found,,,
The DANCE FINAL FRIENDS 2,Not Found,Not Found,,,
"The PARTY (FINAL FRIENDS 1) : THE PARTY (Final Friends, No 1)",Not Found,Not Found,,,
"The Ghost in the Bell Tower (Sweet Valley Twins and Friends Super Chiller, No 4)",Not Found,Not Found,,,
"The Carnival Ghost (Sweet Valley Twins and Friends Super Chiller, No 3)",Not Found,Not Found,,,
"The Christmas Ghost (Sweet Valley Twins and Friends Super Chiller, 1)",Not Found,Not Found,,,
"Don't Talk to Brian (Sweet Valley Twins, 94)",Not Found,Not Found,,,
"Ghost in the Graveyard (Sweet Valley Twins and Friends Super Chiller, No 2)",Not Found,Not Found,,,
"The Twins Go to College (Sweet Valley Twins Super Edition, No 9)",Not Found,Not Found,,,
"The Magic Christmas (Sweet Valley Twins and Friends Magna Edition, No 1)",Not Found,Not Found,,,
"Jessica and the Earthquake (Sweet Valley Twins and Friends, No 75)",Not Found,Not Found,,,
"Big for Christmas (Sweet Valley Twins and Friends Magna Edition, 3)",Not Found,Not Found,,,
"The Big Party Weekend (Sweet Valley Twins and Friends, No 54)",Not Found,Not Found,,,
The Curse of the Golden Heart (Sweet Valley Twins Super Chiller (Paperback)),Not Found,Not Found,,,
"Jessica, the Rock Star (Sweet Valley Twins, No 34)",Not Found,Not Found,,,
MÃ?Â¶rder ohne Gesicht.,Not Found,Not Found,,,
Im Eishaus.,Minette Walters,,1996.0,3.0,
Die purpurnen FlÃ?Â¼sse.,Not Found,Not Found,,,
Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Not Found,Not Found,,,
Steel Beach,John Varley,,1992.0,5.0,
Lost Tribes and Promised Lands: The Origins of American Racism,Unknown,,,1.0,
The Mind's I,"Douglas R. Hofstadter, Daniel C. Dennett",,1962.0,23.0,
Physics for Poets,Robert H. March,,1970.0,9.0,
Raw Deal: Horrible and Ironic Stories of Forgotten Americans,Not Found,Not Found,,,
Foucault for Beginners (Writers and Readers Documentary Comic Books: 62),Not Found,Not Found,,,
Food of the Gods: The Search for the Original Tree of Knowledge,Not Found,Not Found,,,
We'Ve Had a Hundred Years of Psychotherapy and the World's Getting Worse,James Hillman,,1992.0,3.0,
A Guide to Literary Criticism and Research,Bonnie Klomp Stevens,,1987.0,3.0,
The Secret Sun: A Novel of Japan,Not Found,Not Found,,,
Harmful Intent,Robin Cook,,1990.0,9.0,
The Oh Really? Factor : Unspinning Fox News Channel's Bill O'Reilly,Not Found,Not Found,,,
I Rant Therefore I Am,Dennis Miller,,2000.0,2.0,
Revolutionary Voices,Amy Sonnie,,2000.0,3.0,
Spiderbreath,Norence A. Nelson,,2004.0,1.0,
"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,,2003.0,1.0,
Women Make the Best Salesmen : IsnÂ?t it Time You Started Using their Secrets?,Not Found,Not Found,,,
Find Me,Viola Davis,,2022.0,7.0,
Apolo Anton Ohno: My Story,Not Found,Not Found,,,
Querelle,Jean Genet,,1953.0,35.0,
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Not Found,Not Found,,,
Secret Heart,H. G. Wells,,1922.0,37.0,
Double Take (Harlequin Intrigue Series),Not Found,Not Found,,,
Mask of A Hunter (Harlequin Intrigue Series),Not Found,Not Found,,,
Just Before Dawn (Harlequin Intrigue Series),Not Found,Not Found,,,
Out for Justice (Harlequin Intrigue Series),Not Found,Not Found,,,
Whose Child? (Harlequin Superromance),Not Found,Not Found,,,
Silent Witness (Harlequin Superromance),Not Found,Not Found,,,
Return to Little Hills (Harlequin Superromance),Not Found,Not Found,,,
Two On the Run (Harlequin Superromance),Not Found,Not Found,,,
"Unmarked Man : Bachelors at Large (Harlequin Intrigue, 739)",Not Found,Not Found,,,
"For The Children : Twins (Harlequin Superromance, 1171)",Not Found,Not Found,,,
"The Road To Echo Point (Harlequin Superromance, 1173)",Not Found,Not Found,,,
Fantastic Voyage: Microcosm,Not Found,Not Found,,,
A Witch's Guide to Faery Folk: Reclaiming Our Working Relationship With Invisible Helpers (Llewellyn's New Age Series),Not Found,Not Found,,,
Witchy Tarot,Lo Scarabeo,,2003.0,1.0,
"Like Father, Like Daughter: How Father Shapes the Woman His Daughter Becomes",Not Found,Not Found,,,
"The Jeopardy! Book: The Answers, the Questions, the Facts, and the Stories of the Greatest Game Show in History",Not Found,Not Found,,,
Linda Goodman's Star Signs,Linda Goodman,,1987.0,4.0,
Flowers (Rodale's home gardening library),Not Found,Not Found,,,
The Tarot Set,Jane Lyle,,2003.0,1.0,
John Saul: Three Terrifying Bestselling Novels,Not Found,Not Found,,,
Children's Past Lives: How Past Life Memories Affect Your Child,Not Found,Not Found,,,
The Magical Household: Spells &amp; Rituals for the Home (Llewellyn's Practical Magick Series),Not Found,Not Found,,,
Tarot Made Easy,Nancy Garen,,1989.0,4.0,
Buckland's Complete Book of Witchcraft (Llewellyn's Practical Magick),Not Found,Not Found,,,
When the One You Love Wants to Leave,"Harvey, Donald R.",,1989.0,2.0,
"Winning Your Husband Back Before It's Too Late: Whether He's Left Physically or Emotionally, All That Matters Is...",Not Found,Not Found,,,
Needful Things,Stephen King,,1900.0,66.0,
Just Before Daybreak,Elizabeth Turner,,2002.0,3.0,
CHILDGRAVE,Ken Greenhall,,2017.0,2.0,
Cry for Justice,Jessie Hayes,,2015.0,2.0,
White Magic Book,John Le Breton,,2001.0,2.0,
Four Past Midnight,Stephen King,,1990.0,64.0,
Der Welt den RÃ?Â¼cken. 2 CDs.,Not Found,Not Found,,,
Forgive the Moon,Maryanne Stahl,,2002.0,2.0,
The Fencing Master: A Novel,Not Found,Not Found,,,
The Best American Short Stories 2001,Katrina Kenison,,2001.0,4.0,
The Millionaires,"Thomas J. Stanley, William D. Danko",,1996.0,21.0,
Strip City: A Stripper's Farewell Journey Across America,Not Found,Not Found,,,
Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Not Found,Not Found,,,
Till Death Do Us Part,Carolyn Keene,,1988.0,2.0,
Until Angels Close My Eyes,Lurlene McDaniel,,1998.0,2.0,
One Eyed Cat,Paula Fox,,1984.0,27.0,
Less Of A Stranger (Silhouette Single Title),Not Found,Not Found,,,
Shogun.,Clavell,,1975.0,23.0,
Cold Harbour,Jack Higgins,,1990.0,13.0,
Siddhartha (Dover Thrift Editions),Not Found,Not Found,,,
Swiss Family Robinson (Apple Classic),Not Found,Not Found,,,
Firebird,Lloyd Alexander,,1984.0,9.0,
"The Lark and the Wren (Bardic Voices, Book 1)",Mercedes Lackey,,1991.0,1.0,
Zen and the art of motorcycle maintenance,Robert M. Pirsig,,1974.0,78.0,
First Light,Rebecca Stead,,2001.0,11.0,
Drop City,T. Coraghessan Boyle,,2003.0,3.0,
Goodbye California,Alistair MacLean,,1977.0,7.0,
Angels &amp; Insects: Two Novellas,Dan Brown,,2000.0,168.0,
Vox: A Novel,Not Found,Not Found,,,
War and Remembrance,Herman Wouk,,1978.0,61.0,
Bumper Sticker Wisdom: America's Pulpit Above the Tailpipe,Not Found,Not Found,,,
To the Nines (A Stephanie Plum Novel),Not Found,Not Found,,,
Our Lady of the Lost and Found: A Novel,Not Found,Not Found,,,
A Parchment of Leaves: A Novel,Not Found,Not Found,,,
Woman of Substance,Barbara Taylor Bradford,,1979.0,35.0,
"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",Not Found,Not Found,,,
Ringing For You : A Love Story with Interruptions,Not Found,Not Found,,,
So Big (Perennial Classics),Not Found,Not Found,,,
"The Worst Day of My Life, So Far",M. A. Harper,,2001.0,2.0,
Too Many Crooks Spoil the Broth: A Pennsylvania-Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback)),Not Found,Not Found,,,
Your Oasis on Flame Lake (Ballantine Reader's Circle),Not Found,Not Found,,,
To Mother With Love 1993,Debbie Macomber,,1993.0,1.0,
Rosie,Laurie Lee,,1959.0,43.0,
The Blue Flower,Henry van Dyke,,1902.0,28.0,
Smart Women,Judy Blume,,1983.0,28.0,
Frommer's Walking Tours: Paris (2nd Edition),Not Found,Not Found,,,
Up Island,Anne Rivers Siddons,,1997.0,5.0,
Motherhood the Second Oldest Profession,Erma Bombeck,,1983.0,2.0,
PORTRAT OF ARTIST,Not Found,Not Found,,,
Simple Spells for Love: Ancient Practices for Emotional Fulfillment,Not Found,Not Found,,,
Life Among the Savages,"Shirley Jackson, Lesa Lockford",,1953.0,15.0,
The Sophisticated traveler: Great tours and detours,Not Found,Not Found,,,
Driving Lessons,Evan Hunter,,1999.0,3.0,
The Night Before Christmas,Clement Clarke Moore,,1857.0,389.0,
Plain Jane,Rosemary Hammond,,1987.0,1.0,
"Veil Of Fear (Harlequin Intrigue, No 310)",Not Found,Not Found,,,
A Belated Bride,Karen Hawkins,,2001.0,3.0,
Heart of Darkness (Dover Thrift Editions),Not Found,Not Found,,,
Earth Song,Arthur C. Clarke,,1986.0,12.0,
Hemlock Bay,Catherine Coulter,,2001.0,8.0,
Surrender (Florida Civil War (Paperback)),Not Found,Not Found,,,
Texas Ranger,Diana Palmer,,2001.0,5.0,
"Warrior's Song (Coulter, Catherine. Medieval Song Quartet, 4.)",Not Found,Not Found,,,
Yesterday,V. C. Andrews,,1984.0,44.0,
Piccolo Mondo,Giovannino Guareschi,,1948.0,22.0,
Deadly Appearances (Joanne Kilbourn Mysteries (Paperback)),Not Found,Not Found,,,
Verdict in Blood (Joanne Kilbourn Mysteries (Paperback)),Gail Bowen,,2011.0,1.0,
Dreamers Dicti: Mghty Dcks,Not Found,Not Found,,,
Harnessing Peacocks,Mary Wesley,,1985.0,11.0,
Meditations for Women Who Do Too Much,"Anne Wilson Schaef, Kathryn Walker",,1990.0,2.0,
Loca De Amor,Catherine Hermary-Vieille,,1992.0,4.0,
Expect a Miracle: You Won't Be Disappointed,Not Found,Not Found,,,
DIVIDED LIVES,Declan Walsh,,2020.0,1.0,
Dragonshadow,Barbara Hambly,,1999.0,4.0,
TIME AND AGAIN,Jack Finney,,1970.0,12.0,
Entries: Poems,Paul Rollin Shaub,,1953.0,1.0,
Dear James,Jon Hassler,,1993.0,4.0,
Let Your Life Speak: Listening for the Voice of Vocation,Palmer,,,1.0,
Getting straight A's,Richard Palmer,,2005.0,8.0,
"Night Of The Living Dad (Baby Blues Scrapbook , No 6)",Not Found,Not Found,,,
CINDERELLA COMPLEX,Colette Dowling,,1981.0,15.0,
"We Are Experiencing Parental Difficulties...Please Stand By : Baby Blues Scrapbook No.5 (Baby Blues Scrapbook, No 5)",Not Found,Not Found,,,
The Wedding,Julie Garwood,,1996.0,15.0,
The Blunderer,"Patricia Highsmith, Highsmith",,1954.0,25.0,
Madame Bovary,Gustave Flaubert,,1857.0,765.0,
Misconceptions,Naomi Wolf,,2001.0,8.0,
Lives of the Saints,Sabine Baring-Gould,,1872.0,55.0,
"I Thought Labor Ended When The Baby Was Born (Baby Blues Scrapbook, No 4)",Not Found,Not Found,,,
Guess Who Didn't Take A Nap? (Baby Blues Collection),Not Found,Not Found,,,
Video: Stories,Chris Solarski,,2016.0,6.0,
This Day All Gods Die: The Gap into Ruin (Gap Series/Stephen R. Donaldson),Not Found,Not Found,,,
The Sweet Hereafter: A Novel,Not Found,Not Found,,,
L.A. Times,Stuart Woods,,1993.0,8.0,
"Shepherd Looks at Psalm 23, A",W. Phillip Phillip Keller,,1974.0,2.0,
The Run: A Novel,Matthew Wayne Selznick,,2006.0,1.0,
Hit List,Lawrence Block,,2000.0,15.0,
The Moonstone (Penguin Classics),Henry Fielding,,2000.0,1.0,
Short English handbook,David E. Fear,,1979.0,3.0,
"Potomac Trails: D.C., Virginia, Maryland, and West Virginia",Not Found,Not Found,,,
